event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260716_0110,thoothukudi,OBS_00239,8.84957,78.13499,2026-07-16,2023,N20,1.0,n,VIIRS,N
EVT_20260717_0111,thoothukudi,OBS_00115,8.60856,78.09164,2026-07-17,816,N21,3.86,l,VIIRS,D
EVT_20260718_0112,thoothukudi,OBS_00116,8.75063,78.10085,2026-07-18,756,N21,7.32,n,VIIRS,D
EVT_20260718_0113,thoothukudi,OBS_00117,8.8503,78.01928,2026-07-18,756,N21,8.37,n,VIIRS,D
EVT_20260718_0113,thoothukudi,OBS_00240,8.85068,78.02062,2026-07-18,852,N20,3.02,n,VIIRS,D
EVT_20260718_0113,thoothukudi,OBS_00241,8.85345,78.01942,2026-07-18,852,N20,2.18,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00118,8.74155,77.95555,2026-07-19,737,N21,10.35,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00119,8.74187,77.95825,2026-07-19,737,N21,6.79,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00120,8.74276,77.96347,2026-07-19,737,N21,6.79,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00122,8.74575,77.95219,2026-07-19,737,N21,7.48,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00242,8.74011,77.95507,2026-07-19,833,N20,4.31,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00243,8.74061,77.95871,2026-07-19,833,N20,4.31,n,VIIRS,D
EVT_20260719_0114,thoothukudi,OBS_00121,8.74342,77.96598,2026-07-19,737,N21,12.1,n,VIIRS,D
EVT_20260720_0115,thoothukudi,OBS_00244,8.84538,78.06369,2026-07-20,813,N20,2.03,n,VIIRS,D
EVT_20260721_0116,thoothukudi,OBS_00245,8.66998,77.99445,2026-07-21,2032,N20,0.76,n,VIIRS,N
EVT_20260722_0117,thoothukudi,OBS_00246,8.61174,78.1255,2026-07-22,2012,N20,1.71,n,VIIRS,N
